url;deprecated;valid_until;valid_from;id;label_en;label_it;skos:prefLabel
http://publications.europa.eu/resource/authority/language/ADF;false;;1950-05-09;ADF;;;
http://publications.europa.eu/resource/authority/language/ADG;false;;1950-05-09;ADG;;;
http://publications.europa.eu/resource/authority/language/ADH;false;;1950-05-09;ADH;;;
http://publications.europa.eu/resource/authority/language/ADI;false;;1950-05-09;ADI;;;
http://publications.europa.eu/resource/authority/language/ADJ;false;;1950-05-09;ADJ;;;
http://publications.europa.eu/resource/authority/language/ADL;false;;1950-05-09;ADL;;;
http://publications.europa.eu/resource/authority/language/ADN;false;;1950-05-09;ADN;;;
http://publications.europa.eu/resource/authority/language/ADO;false;;1950-05-09;ADO;;;
http://publications.europa.eu/resource/authority/language/ADP;false;;1950-05-09;ADP;;;
http://publications.europa.eu/resource/authority/language/ADQ;false;;1950-05-09;ADQ;;;
http://publications.europa.eu/resource/authority/language/ADR;false;;1950-05-09;ADR;;;
http://publications.europa.eu/resource/authority/language/ADS;false;;1950-05-09;ADS;Adamorobe Sign Language;lingua dei segni di Adamorobe;
http://publications.europa.eu/resource/authority/language/ADT;false;;1950-05-09;ADT;;;
http://publications.europa.eu/resource/authority/language/ADU;false;;1950-05-09;ADU;;;
http://publications.europa.eu/resource/authority/language/ADW;false;;1950-05-09;ADW;;;
http://publications.europa.eu/resource/authority/language/ADX;false;;1950-05-09;ADX;;;
http://publications.europa.eu/resource/authority/language/ADY;false;;1950-05-09;ADY;;;
http://publications.europa.eu/resource/authority/language/ADZ;false;;1950-05-09;ADZ;;;
http://publications.europa.eu/resource/authority/language/AEA;false;;1950-05-09;AEA;;;
http://publications.europa.eu/resource/authority/language/AEB;false;;1950-05-09;AEB;;;
http://publications.europa.eu/resource/authority/language/AEC;false;;1950-05-09;AEC;;;
http://publications.europa.eu/resource/authority/language/AED;false;;1950-05-09;AED;Argentine Sign Language;lingua dei segni argentina;
http://publications.europa.eu/resource/authority/language/AEE;false;;1950-05-09;AEE;;;
http://publications.europa.eu/resource/authority/language/AEK;false;;1950-05-09;AEK;;;
http://publications.europa.eu/resource/authority/language/AEL;false;;1950-05-09;AEL;;;
http://publications.europa.eu/resource/authority/language/AEM;false;;1950-05-09;AEM;;;
http://publications.europa.eu/resource/authority/language/AEN;false;;1950-05-09;AEN;Armenian Sign Language;lingua dei segni armena;
http://publications.europa.eu/resource/authority/language/AEQ;false;;1950-05-09;AEQ;;;
http://publications.europa.eu/resource/authority/language/AER;false;;1950-05-09;AER;;;
http://publications.europa.eu/resource/authority/language/AES;false;;1950-05-09;AES;;;
http://publications.europa.eu/resource/authority/language/AEU;false;;1950-05-09;AEU;;;
http://publications.europa.eu/resource/authority/language/AEW;false;;1950-05-09;AEW;;;
http://publications.europa.eu/resource/authority/language/AEY;false;;1950-05-09;AEY;;;
http://publications.europa.eu/resource/authority/language/AEZ;false;;1950-05-09;AEZ;;;
http://publications.europa.eu/resource/authority/language/AFA;false;;1950-05-09;AFA;Afro-Asiatic languages;;
http://publications.europa.eu/resource/authority/language/AFB;false;;1950-05-09;AFB;;;
http://publications.europa.eu/resource/authority/language/AFD;false;;1950-05-09;AFD;;;
http://publications.europa.eu/resource/authority/language/AFE;false;;1950-05-09;AFE;;;
http://publications.europa.eu/resource/authority/language/AFG;false;;1950-05-09;AFG;Afghan Sign Language;lingua dei segni afgana;
http://publications.europa.eu/resource/authority/language/AFH;false;;1950-05-09;AFH;;;
http://publications.europa.eu/resource/authority/language/AFI;false;;1950-05-09;AFI;;;
http://publications.europa.eu/resource/authority/language/AFK;false;;1950-05-09;AFK;;;
http://publications.europa.eu/resource/authority/language/AFN;false;;1950-05-09;AFN;;;
http://publications.europa.eu/resource/authority/language/AFO;false;;1950-05-09;AFO;;;
http://publications.europa.eu/resource/authority/language/AFP;false;;1950-05-09;AFP;;;
http://publications.europa.eu/resource/authority/language/AFR;false;;1950-05-09;AFR;Afrikaans;afrikaans;
http://publications.europa.eu/resource/authority/language/AFS;false;;1950-05-09;AFS;;;
http://publications.europa.eu/resource/authority/language/AFT;false;;1950-05-09;AFT;;;
http://publications.europa.eu/resource/authority/language/AFU;false;;1950-05-09;AFU;;;
http://publications.europa.eu/resource/authority/language/AFZ;false;;1950-05-09;AFZ;;;
http://publications.europa.eu/resource/authority/language/AGA;false;;1950-05-09;AGA;;;
http://publications.europa.eu/resource/authority/language/AGB;false;;1950-05-09;AGB;;;
http://publications.europa.eu/resource/authority/language/AGC;false;;1950-05-09;AGC;;;
http://publications.europa.eu/resource/authority/language/AGD;false;;1950-05-09;AGD;;;
http://publications.europa.eu/resource/authority/language/AGE;false;;1950-05-09;AGE;;;
http://publications.europa.eu/resource/authority/language/AGF;false;;1950-05-09;AGF;;;
http://publications.europa.eu/resource/authority/language/AGG;false;;1950-05-09;AGG;;;
http://publications.europa.eu/resource/authority/language/AGH;false;;1950-05-09;AGH;;;
http://publications.europa.eu/resource/authority/language/AGI;false;;1950-05-09;AGI;;;
http://publications.europa.eu/resource/authority/language/AGJ;false;;1950-05-09;AGJ;;;
http://publications.europa.eu/resource/authority/language/AGK;false;;1950-05-09;AGK;;;
http://publications.europa.eu/resource/authority/language/AGL;false;;1950-05-09;AGL;;;
http://publications.europa.eu/resource/authority/language/AGM;false;;1950-05-09;AGM;;;
http://publications.europa.eu/resource/authority/language/AGN;false;;1950-05-09;AGN;;;
http://publications.europa.eu/resource/authority/language/AGO;false;;1950-05-09;AGO;;;
http://publications.europa.eu/resource/authority/language/AGP;false;;1950-05-09;AGP;;;
http://publications.europa.eu/resource/authority/language/AGQ;false;;1950-05-09;AGQ;;;
http://publications.europa.eu/resource/authority/language/AGR;false;;1950-05-09;AGR;;;
http://publications.europa.eu/resource/authority/language/AGS;false;;1950-05-09;AGS;;;
http://publications.europa.eu/resource/authority/language/AGT;false;;1950-05-09;AGT;;;
http://publications.europa.eu/resource/authority/language/AGU;false;;1950-05-09;AGU;;;
http://publications.europa.eu/resource/authority/language/AGV;false;;1950-05-09;AGV;;;
http://publications.europa.eu/resource/authority/language/AGW;false;;1950-05-09;AGW;;;
http://publications.europa.eu/resource/authority/language/AGX;false;;1950-05-09;AGX;;;
http://publications.europa.eu/resource/authority/language/AGY;false;;1950-05-09;AGY;;;
http://publications.europa.eu/resource/authority/language/AGZ;false;;1950-05-09;AGZ;;;
