url;deprecated;valid_until;valid_from;id;label_en;skos:prefLabel;label_it
http://publications.europa.eu/resource/authority/site/B68;false;;1958-01-01;B68;CoR/EESC;;CdR/CESE
http://publications.europa.eu/resource/authority/site/BAIRRODAPENHA;false;;1958-01-01;BAIRRODAPENHA;Bairro da Penha;;
http://publications.europa.eu/resource/authority/site/BARBUSSE2;false;;1958-01-01;BARBUSSE2;Barbusse 2;;
http://publications.europa.eu/resource/authority/site/BATIMJARDIN;false;;1958-01-01;BATIMJARDIN;Jardin building;;
http://publications.europa.eu/resource/authority/site/BAUDDHALOKA389;false;;1958-01-01;BAUDDHALOKA389;Bauddhaloka 389;;
http://publications.europa.eu/resource/authority/site/BD4;false;;1958-01-01;BD4;BD4;;
http://publications.europa.eu/resource/authority/site/BECH;false;;1958-01-01;BECH;Bech building;;
http://publications.europa.eu/resource/authority/site/BEI;false;;1958-01-01;BEI;European Investment Bank;;Banca europea per gli investimenti
http://publications.europa.eu/resource/authority/site/BELAUNDE332;false;;1958-01-01;BELAUNDE332;Belaunde 332;;
http://publications.europa.eu/resource/authority/site/BERCY201_203;false;;2019-11-22;BERCY201_203;Bercy 201-203;;
http://publications.europa.eu/resource/authority/site/BERL;false;;1958-01-01;BERL;;;
http://publications.europa.eu/resource/authority/site/BMT;false;;2016-11-01;BMT;Belmont Court;;
http://publications.europa.eu/resource/authority/site/BORNO19;false;;1958-01-01;BORNO19;Borno 19;;
http://publications.europa.eu/resource/authority/site/BOULEVARD30JUIN;false;;1958-01-01;BOULEVARD30JUIN;Boulevard 30 juin;;
http://publications.europa.eu/resource/authority/site/BOUR;false;;1958-01-01;BOUR;;;
http://publications.europa.eu/resource/authority/site/BOUR2;false;;1958-01-01;BOUR2;;;
http://publications.europa.eu/resource/authority/site/BQL;false;;1958-01-01;BQL;European Parliament Office in Belgium;;Ufficio del Parlamento europeo in Belgio
http://publications.europa.eu/resource/authority/site/BRE2;false;;1958-01-01;BRE2;;;
http://publications.europa.eu/resource/authority/site/BREY;false;;1958-01-01;BREY;;;
http://publications.europa.eu/resource/authority/site/BSPHAUS;false;;1958-01-01;BSPHAUS;BSP Haus;;
http://publications.europa.eu/resource/authority/site/BU1;false;;1958-01-01;BU1;;;
http://publications.europa.eu/resource/authority/site/BU24;false;;1958-01-01;BU24;;;
http://publications.europa.eu/resource/authority/site/BU25;false;;1958-01-01;BU25;;;
http://publications.europa.eu/resource/authority/site/BU29;false;;1958-01-01;BU29;;;
http://publications.europa.eu/resource/authority/site/BU31;false;;1958-01-01;BU31;;;
http://publications.europa.eu/resource/authority/site/BU33;false;;1958-01-01;BU33;;;
http://publications.europa.eu/resource/authority/site/BU5;false;;1958-01-01;BU5;;;
http://publications.europa.eu/resource/authority/site/BU9;false;;1958-01-01;BU9;;;
http://publications.europa.eu/resource/authority/site/BUILD_C;false;;1994-02-12;BUILD_C;C Building;;
http://publications.europa.eu/resource/authority/site/BUILD_T;false;;1999-01-01;BUILD_T;T building;;
http://publications.europa.eu/resource/authority/site/BUNDESGASSE18;false;;1958-01-01;BUNDESGASSE18;Bundesgasse 18;;
http://publications.europa.eu/resource/authority/site/BVS;false;;1958-01-01;BVS;Bertha von Suttner;;
http://publications.europa.eu/resource/authority/site/C107;false;;1958-01-01;C107;;;
http://publications.europa.eu/resource/authority/site/C115;false;;2011-10-14;C115;;;
http://publications.europa.eu/resource/authority/site/C150;false;;1958-01-01;C150;;;
http://publications.europa.eu/resource/authority/site/C158;false;;1986-01-01;C158;;;
http://publications.europa.eu/resource/authority/site/C25;false;;1958-01-01;C25;;;
http://publications.europa.eu/resource/authority/site/CALLE116;false;;1958-01-01;CALLE116;Calle 116;;
http://publications.europa.eu/resource/authority/site/CALLE53MARBELLA;false;;1958-01-01;CALLE53MARBELLA;Calle 53 Marbella;;
http://publications.europa.eu/resource/authority/site/CANTONMENTS81;false;;1958-01-01;CANTONMENTS81;Cantonments 81;;
http://publications.europa.eu/resource/authority/site/CAPEVERDEROAD;false;;1958-01-01;CAPEVERDEROAD;Cape-Verde Road;;
http://publications.europa.eu/resource/authority/site/CARLOMAGNO1A;false;;1958-01-01;CARLOMAGNO1A;Carlo Magno 1A;;
http://publications.europa.eu/resource/authority/site/CASPIAN2;false;;1958-01-01;CASPIAN2;Caspian 2;;
http://publications.europa.eu/resource/authority/site/CASTELLANA46;false;;1958-01-01;CASTELLANA46;Castellana 46;;
http://publications.europa.eu/resource/authority/site/CCAB;false;;1958-01-01;CCAB;Albert Borschette Centre;;
http://publications.europa.eu/resource/authority/site/CCO;true;;1958-01-01;CCO;Conference Centre — Kirchberg;;
http://publications.europa.eu/resource/authority/site/CDMA;false;;1958-01-01;CDMA;;;
http://publications.europa.eu/resource/authority/site/CHAHARISEDARAT;false;;1958-01-01;CHAHARISEDARAT;Chahari Sedarat;;
http://publications.europa.eu/resource/authority/site/CHAR;false;;1958-01-01;CHAR;Charlemagne;;
http://publications.europa.eu/resource/authority/site/CHURCHILL30;true;2019-03-10;1958-01-01;CHURCHILL30;Churchill 30;;
http://publications.europa.eu/resource/authority/site/CIH;false;;1958-01-01;CIH;Demeurslaan 132;;
http://publications.europa.eu/resource/authority/site/CITEOUA;false;;1958-01-01;CITEOUA;Cité OUA;;
http://publications.europa.eu/resource/authority/site/CJ_PALAIS;false;;2008-12-04;CJ_PALAIS;;;
http://publications.europa.eu/resource/authority/site/CJ_TOA;false;;2008-07-15;CJ_TOA;Tower A;;
http://publications.europa.eu/resource/authority/site/CJ_TOB;false;;2008-11-01;CJ_TOB;Tower B;;
http://publications.europa.eu/resource/authority/site/CLOV;false;;1958-01-01;CLOV;;;
http://publications.europa.eu/resource/authority/site/COE;false;;1958-01-01;COE;Council of Europe;;
http://publications.europa.eu/resource/authority/site/COLE;false;;1958-01-01;COLE;;;
http://publications.europa.eu/resource/authority/site/COLEAHLANSEBOUNDJI;false;;1958-01-01;COLEAHLANSEBOUNDJI;Coléah Lanséboundji;;
http://publications.europa.eu/resource/authority/site/CONSTITUTION167;false;;1958-01-01;CONSTITUTION167;Constitution 167;;
http://publications.europa.eu/resource/authority/site/COVE;false;;1958-01-01;COVE;;;
http://publications.europa.eu/resource/authority/site/COVE2;false;;1958-01-01;COVE2;;;
http://publications.europa.eu/resource/authority/site/CPE1;false;;1958-01-01;CPE1;Interinstitutional Children’s Centre;;
http://publications.europa.eu/resource/authority/site/CPE2;false;;1958-01-01;CPE2;;;
http://publications.europa.eu/resource/authority/site/CPE3;false;;1958-01-01;CPE3;;;
http://publications.europa.eu/resource/authority/site/CPE4;true;2012-12-31;1958-01-01;CPE4;;;
http://publications.europa.eu/resource/authority/site/CPE5;false;;1958-01-01;CPE5;;;
http://publications.europa.eu/resource/authority/site/CSM1;false;;1958-01-01;CSM1;;;
http://publications.europa.eu/resource/authority/site/CSM2;true;2016-11-29;1958-01-01;CSM2;;;
http://publications.europa.eu/resource/authority/site/DAIL;false;;1958-01-01;DAIL;;;
http://publications.europa.eu/resource/authority/site/DAV1;false;;1958-01-01;DAV1;;;
http://publications.europa.eu/resource/authority/site/DAWSON18;false;;1958-01-01;DAWSON18;Dawson 18;;
http://publications.europa.eu/resource/authority/site/DM24;false;;1958-01-01;DM24;;;
http://publications.europa.eu/resource/authority/site/DM28;false;;1958-01-01;DM28;;;
http://publications.europa.eu/resource/authority/site/DOMBENOUADAH;false;;1958-01-01;DOMBENOUADAH;Domaine Benouadah;;
http://publications.europa.eu/resource/authority/site/DONGZHIMENWAIDAIJIE15;false;;1958-01-01;DONGZHIMENWAIDAIJIE15;Dongzhimenwai Daijie 15;;
http://publications.europa.eu/resource/authority/site/DRB;false;;1958-01-01;DRB;Drosbach building;;
http://publications.europa.eu/resource/authority/site/DUBLINROAD74_76;false;;1958-01-01;DUBLINROAD74_76;Dublin Road 74-76;;
http://publications.europa.eu/resource/authority/site/DUNAJSKA20;false;;1958-01-01;DUNAJSKA20;Dunajska 20;;
http://publications.europa.eu/resource/authority/site/EAS;true;2016-09-30;1958-01-01;EAS;Eastman;;
http://publications.europa.eu/resource/authority/site/EBRC;false;;1958-01-01;EBRC;Resilience Centre;;
http://publications.europa.eu/resource/authority/site/EE1;false;;1958-01-01;EE1;European School I — Kirchberg;;
http://publications.europa.eu/resource/authority/site/EE2;false;;1958-01-01;EE2;European School II — Bertrange;;
http://publications.europa.eu/resource/authority/site/EEAS;false;;2011-10-14;EEAS;EEAS Building;;
http://publications.europa.eu/resource/authority/site/EISENHOWER73;false;;1958-01-01;EISENHOWER73;Eisenhower 73;;
http://publications.europa.eu/resource/authority/site/EKI;false;;2008-06-02;EKI;EKI;;
http://publications.europa.eu/resource/authority/site/ENGELS34A;false;;1958-01-01;ENGELS34A;Engels 34 A;;
http://publications.europa.eu/resource/authority/site/EP_BRU_PRESS;false;;1958-01-01;EP_BRU_PRESS;European Parliament – Press Service;;
http://publications.europa.eu/resource/authority/site/EP_SXB;false;;1958-01-01;EP_SXB;European Parliament Office in Strasbourg;;
http://publications.europa.eu/resource/authority/site/ERA;false;;1988-10-05;ERA;;;
http://publications.europa.eu/resource/authority/site/ERHARDT27;false;;1958-01-01;ERHARDT27;Erhardt 27;;
http://publications.europa.eu/resource/authority/site/ERKINDIK21;false;;1958-01-01;ERKINDIK21;Erkindik 21;;
http://publications.europa.eu/resource/authority/site/ER_RIAD;false;;1958-01-01;ER_RIAD;Boulevard Er-Riad;;
